First Name,Last Name,Email
John,Duplicate,john.duplicate@club.ie
Sarah,Johnson,sarah.johnson@club.ie
Michael,Brown,michael.brown@club.ie
John,Duplicate,john.duplicate@club.ie
Emily,Davis,emily.davis@club.ie
David,Wilson,david.wilson@club.ie
alice@club.ie,Test,alice@club.ie
Jennifer,Moore,jennifer.moore@club.ie
Robert,Taylor,robert.taylor@club.ie
alice@club.ie,TestAgain,alice@club.ie
Linda,Anderson,linda.anderson@club.ie
James,Thomas,james.thomas@club.ie
Patricia,Jackson,patricia.jackson@club.ie
DUPLICATE.EMAIL@CLUB.IE,Case,duplicate.email@club.ie
William,White,william.white@club.ie
Barbara,Harris,barbara.harris@club.ie
Richard,Martin,richard.martin@club.ie
Susan,Thompson,susan.thompson@club.ie
DUPLICATE.EMAIL@CLUB.IE,CaseSensitive,duplicate.email@club.ie
Joseph,Garcia,joseph.garcia@club.ie
