First Name,Last Name,Email
John,Smith,john.smith@club.ie
Sarah,Johnson,sarah@@domain.com
Michael,Brown,michael.brown@example.com
Emily,Davis,emily.davis
David,Wilson,@wilson.com
Jennifer,Moore,jennifer@
Robert,Taylor,robert.domain.com
Linda,Anderson,linda anderson@club.ie
James,Thomas,james@.com
Patricia,Jackson,patricia@domain
William,White,william@domain..com
Barbara,Harris,barbara@domain@example.com
Richard,Martin,richard@-domain.com
Susan,Thompson,susan@.example.com
Joseph,Garcia,joseph@@@@example.com
Thomas,Robinson,thomas@domain .com
Charles,Rodriguez,charles..name@domain.com
Karen,Lewis,karen@domain
Mark,Davis,@domain.com
Steven,Miller,steven.miller domain.com
